"","SUBTIME","JOBFUNCOTHER","GENDER","ROLE","age_range","gender","team_size","condexp","COMPANY","INVA","INVB","INVC","INVD","INVE","INVF","INVG","INVH","INVI","INVJ","INVK","INVL","INVM","INVN","USERA","USERB","USERC","USERD","USERE","USERF","INF.MNG","INF.UX","INF.DEV","INF.SLF","X3.3A","X3.3B","X3.3C","X3.3D","X3.3E","X3.3F","WORKTIM"
"70","27.3.17 15:07","","M","Developer","31-40","Male","3-5",NA,"Reaktor","agree","agree","agree","disagree","disagree",NA,"disagree","agree","indecisive","disagree",NA,NA,NA,"agree","disagree","disagree","disagree","agree","agree","agree",NA,"agree","indecisive","indecisive","indecisive","disagree","agree","agree","agree","indecisive","1 year"
"71","27.3.17 15:10","","M","Developer","21-30","Male","6-10","Yes, actively","Reaktor","indecisive","agree","disagree","agree","disagree","agree","agree","agree","indecisive","disagree","disagree","disagree","disagree","disagree","agree","agree","disagree","disagree","disagree","disagree","disagree","agree","disagree","disagree","agree","agree","agree","disagree","agree","agree","1 year"
"72","27.3.17 15:12","","M","Developer","21-30","Male","< 3","Rarely","Reaktor","disagree","agree","disagree","indecisive","agree","indecisive","indecisive","indecisive","agree","indecisive","disagree","agree","disagree","agree","agree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","agree","disagree","agree","agree","agree","agree","5 year"
"73","27.3.17 15:14","","M","Developer","41-50","Male","11-20","Yes, actively","Reaktor","indecisive","agree","disagree","indecisive","indecisive","indecisive","disagree","agree","agree","disagree","disagree","disagree","disagree","disagree","agree","disagree","agree","agree","agree","agree","indecisive","agree","agree","agree","disagree","agree","agree","agree","disagree","agree","10 year"
"74","27.3.17 15:24","","M","Developer","21-30","Male","6-10","Rarely","Reaktor","indecisive","agree","indecisive","indecisive","indecisive","indecisive","indecisive","agree","agree","agree","disagree","indecisive","agree","disagree","agree","agree","disagree","disagree","disagree","indecisive","disagree","indecisive","agree","agree","disagree","agree","agree","agree","agree","agree","5 year"
"75","27.3.17 15:29","","M","Developer","41-50","Male","6-10","Never","Reaktor","disagree","agree","disagree","disagree","indecisive","agree","disagree","indecisive","agree","agree","indecisive","disagree","disagree","disagree","agree","agree","disagree","disagree","disagree","disagree","disagree","disagree","disagree","disagree","indecisive","agree","disagree","agree","agree","agree","10 year"
"76","27.3.17 15:34","","F","Manager","31-40","Female",">20","Yes, actively","Reaktor","disagree","agree","disagree","disagree","agree","disagree","disagree","disagree","indecisive","disagree","disagree","indecisive","disagree","indecisive","agree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","indecisive","agree","agree","agree","agree","agree","10 year"
"77","27.3.17 15:34","","M","Developer","31-40","Male","6-10","Occasionally","Reaktor","disagree","agree","disagree","disagree","agree","disagree","disagree",NA,"agree","disagree",NA,"agree","disagree","indecisive","agree","disagree","agree","agree","agree","agree","indecisive","indecisive","indecisive","indecisive","disagree","agree","agree","agree","agree","agree","5 year"
"78","27.3.17 15:41","","M","Developer","31-40","Male","11-20","Occasionally","Reaktor","disagree","agree","disagree","agree","agree","agree","agree","agree","agree","disagree","disagree",NA,"disagree","disagree","agree","indecisive","agree","agree","agree","agree","agree","agree","agree","agree","disagree","agree","indecisive","agree","agree","agree","10 year"
"79","27.3.17 15:42","","M","Developer","21-30","Male","3-5",NA,"Reaktor","disagree","agree","disagree","disagree","indecisive","agree",NA,"agree","agree",NA,NA,NA,"disagree","disagree","agree","agree","disagree","disagree","agree","indecisive",NA,NA,NA,"indecisive","agree","disagree","agree","agree",NA,"agree","10 year"
"80","27.3.17 15:48","","M","Other","41-50","Male","11-20","Yes, actively","Reaktor","disagree","agree","indecisive","indecisive","disagree","indecisive",NA,"indecisive",NA,"disagree",NA,NA,NA,"disagree","agree","agree","disagree","indecisive",NA,NA,"agree","agree","agree","agree","indecisive","indecisive","agree","agree","agree","agree","5 year"
"81","27.3.17 15:54","","M","Developer","21-30","Male",">20","Yes, actively","Reaktor","agree","agree","agree","indecisive","disagree","agree",NA,"agree","agree","disagree","disagree","disagree",NA,"disagree","agree","disagree","agree","agree","agree","agree",NA,"agree","agree","agree","indecisive","agree","agree","agree","agree","agree","5 year"
"82","27.3.17 16:04","","M","UX designer","31-40","Male","3-5","Occasionally","Reaktor","indecisive","agree","indecisive","indecisive","indecisive","indecisive","indecisive","disagree","agree",NA,NA,NA,NA,NA,"agree","indecisive","agree","agree","agree","agree","disagree","agree","disagree","agree","indecisive","agree","agree","agree","disagree","agree","5 year"
"83","27.3.17 16:15","","F","UX designer","41-50","Female",">20","Yes, actively","Reaktor","disagree","agree","disagree","disagree","agree","agree","disagree","disagree","disagree","disagree","disagree","disagree","indecisive","indecisive","agree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","agree","disagree","agree","agree","indecisive","indecisive","5 year"
"84","27.3.17 17:01","","M","UX designer","31-40","Male","3-5","Yes, actively","Reaktor","agree","agree","agree","agree","disagree","agree","agree","agree","agree","agree",NA,"indecisive","agree","disagree","agree","disagree","indecisive","agree","agree","agree","indecisive","agree","agree","agree","agree","disagree","agree","agree","agree","indecisive","5 year"
