"","SUBTIME","JOBFUNC","JOBFUNCOTHER","JOBTIME","GENDER","INVA","INVB","INVC","INVD","INVE","INVF","INVG","INVH","INVI","INVJ","INVK","INVL","INVM","INVN","ROLE","worktime","age_range","gender","team_size","USERA","USERB","USERC","USERD","USERE","USERF","INF.MNG","INF.UX","INF.DEV","INF.SLF","condexp","3.3A","3.3B","3.3C","3.3D","3.3E","3.3F","M1","M2","M3","M4","COMPANY"
"80","27.3.17 15:48",5,"",36,"M",2,5,3,3,2,3,NA,3,NA,2,NA,NA,NA,2,"Other",36,"41-50","Male","11-20",5,4,1,3,NA,NA,4,5,4,4,"Yes, actively",3,3,4,4,5,4,NA,NA,NA,NA,"Reaktor"
"81","27.3.17 15:54",0,"",48,"M",5,5,4,3,1,5,NA,4,5,1,2,2,NA,1,"Developer",48,"21-30","Male",">20",4,1,4,4,4,4,NA,5,5,5,"Yes, actively",3,5,5,5,5,4,4,5,4,5,"Reaktor"
"82","27.3.17 16:04",3,"",60,"M",3,5,3,3,3,3,3,2,4,NA,NA,NA,NA,NA,"UX designer",60,"31-40","Male","3-5",5,3,5,4,4,4,2,4,2,4,"Occasionally",3,4,4,5,2,4,2,5,2,2,"Reaktor"
"83","27.3.17 16:15",3,"",48,"F",1,5,1,2,4,4,1,1,2,2,1,2,3,3,"UX designer",48,"41-50","Female",">20",5,1,5,5,5,5,5,5,5,5,"Yes, actively",5,1,5,5,3,3,5,5,5,5,"Reaktor"
"84","27.3.17 17:01",3,"",48,"M",4,5,5,4,1,4,5,4,4,4,NA,3,5,1,"UX designer",48,"31-40","Male","3-5",5,1,3,4,4,5,3,5,4,5,"Yes, actively",5,1,4,4,4,3,3,4,3,3,"Reaktor"
"85","27.3.17 20:07",0,"",24,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,3,NA,2,"Developer",24,"31-40",NA,"3-5",4,4,2,4,4,4,NA,NA,2,2,"Yes, actively",2,4,2,4,4,4,4,4,3,4,"Reaktor"
"86","27.3.17 20:31",0,"",36,"M",2,3,4,3,2,4,4,2,4,3,1,2,2,1,"Developer",36,"21-30","Male","3-5",5,1,4,4,5,5,5,5,4,4,"Yes, actively",3,2,5,5,4,5,3,4,3,3,"Reaktor"
"87","27.3.17 23:22",3,"",60,"M",3,3,3,4,2,3,4,4,4,5,2,4,1,4,"UX designer",60,"41-50","Male","6-10",5,4,4,3,4,4,4,2,3,4,"Occasionally",3,5,4,5,3,5,4,4,4,3,"Reaktor"
"88","28.3.17 08:26",0,"",9999,"M",3,4,4,4,2,4,NA,2,4,NA,NA,2,NA,NA,"Developer",132,"31-40","Male","6-10",5,4,2,3,4,2,4,4,4,4,"Yes, actively",4,2,4,4,3,4,3,5,3,5,"Reaktor"
"89","28.3.17 09:53",0,"",96,"M",3,5,3,3,2,4,2,2,2,4,2,1,1,5,"Developer",96,"41-50","Male","6-10",5,2,3,5,5,4,3,4,3,4,"Yes, actively",4,2,4,4,5,4,3,3,3,4,"Reaktor"
"90","28.3.17 10:23",4,"",36,"F",3,4,2,3,3,2,4,4,3,3,2,3,3,3,"UX designer",36,"31-40","Female","3-5",5,1,4,4,4,4,3,4,3,4,"Yes, actively",4,3,3,4,2,4,3,4,3,3,"Reaktor"
"91","28.3.17 12:03",3,"",60,"F",1,5,1,1,5,4,1,4,5,3,2,2,2,2,"UX designer",60,"41-50","Female","3-5",5,5,4,4,5,5,5,4,5,5,"Yes, actively",5,3,4,5,2,5,5,5,5,4,"Reaktor"
"92","28.3.17 12:09",0,"",96,"M",4,4,NA,2,1,4,NA,2,3,2,2,2,2,2,"Developer",96,"31-40","Male","< 3",4,NA,2,4,4,3,3,4,3,3,"Yes, actively",4,5,5,5,5,5,NA,NA,NA,NA,"Reaktor"
"93","28.3.17 15:01",2,"",24,"M",4,5,2,2,2,5,4,1,3,2,1,5,2,3,"Manager",24,"41-50","Male","6-10",4,1,4,4,5,5,2,5,5,4,"Yes, actively",3,5,2,5,2,2,5,4,3,4,"Reaktor"
"94","28.3.17 16:44",3,"",9999,"M",3,5,3,2,3,3,1,3,1,3,2,2,2,2,"UX designer",132,"41-50","Male","11-20",5,1,5,4,4,4,2,5,2,5,"Yes, actively",3,3,4,3,5,5,3,3,3,3,"Reaktor"
"95","29.3.17 08:45",0,"",60,"M",4,4,5,3,1,5,NA,5,5,3,NA,NA,NA,4,"Developer",60,"31-40","Male",">20",5,1,5,2,4,2,NA,4,4,4,"Yes, actively",3,3,5,5,4,2,2,3,3,4,"Reaktor"
"96","29.3.17 09:23",0,"",96,"M",2,5,2,5,4,2,1,2,4,2,1,2,2,1,"Developer",96,"31-40","Male","6-10",4,2,5,4,4,4,NA,5,4,4,"Occasionally",4,2,4,2,5,5,2,5,1,4,"Reaktor"
"97","29.3.17 15:15",3,"",72,"M",4,4,4,4,2,2,3,2,2,4,2,2,2,1,"UX designer",72,"31-40","Male","6-10",4,4,2,4,4,2,2,2,2,2,"Occasionally",2,4,4,4,2,4,3,1,2,1,"Reaktor"
"98","30.3.17 11:02",3,"",48,"M",3,4,4,4,2,3,3,3,5,4,3,4,3,3,"UX designer",48,"21-30","Male","6-10",4,5,3,3,4,4,4,4,2,3,NA,2,4,2,5,4,4,3,3,2,2,"Reaktor"
"99","30.3.17 22:11",0,"",9,"M",3,5,1,NA,4,4,1,3,4,4,2,2,2,2,"Developer",9,"31-40","Male","6-10",4,4,1,1,2,2,4,2,1,1,"Never",4,5,3,5,5,5,1,1,1,1,"Reaktor"
"100","2.4.17 21:01",0,"",96,"M",3,4,2,3,3,4,3,2,4,1,3,4,3,3,"Developer",96,"31-40","Male","6-10",5,4,4,4,4,4,4,4,3,4,"Yes, actively",3,3,4,4,5,4,3,3,2,4,"Reaktor"
"101","10.4.17 10:43",0,"",8,"M",2,5,2,2,4,2,1,3,4,4,2,2,2,2,"Developer",8,"31-40","Male","3-5",5,5,1,3,2,3,2,3,1,2,"Rarely",4,3,5,5,5,4,1,1,1,1,"Reaktor"
"102","11.4.17 11:38",0,"",12,"M",2,5,1,3,2,3,1,2,3,NA,NA,NA,2,NA,"Developer",12,"21-30","Male","6-10",5,2,1,4,4,2,NA,NA,4,4,NA,4,2,4,4,3,5,NA,NA,NA,4,"Reaktor"
"103","11.4.17 12:08",0,"",48,NA,2,4,2,3,2,4,2,4,4,4,NA,NA,4,2,"Developer",48,"31-40",NA,"6-10",4,2,2,2,4,4,NA,4,4,4,"Never",2,4,4,4,4,3,3,3,3,5,"Reaktor"
