"","JOBFUNCOTHER","JOBTIME","GENDER","INVA","INVB","INVC","INVD","INVE","INVF","INVG","INVH","INVI","INVJ","INVK","INVL","INVM","INVN","ROLE","worktime","age_range","gender","team_size","USERA","USERB","USERC","USERD","USERE","USERF","INF.MNG","INF.UX","INF.DEV","INF.SLF","condexp","X3.3A","X3.3B","X3.3C","X3.3D","X3.3E","X3.3F","COMPANY"
"99","",9,"M",3,5,1,NA,4,4,1,3,4,4,2,2,2,2,"Developer",9,"31-40","Male","6-10",4,4,1,1,2,2,4,2,1,1,"Never",4,5,3,5,5,5,"Reaktor"
"100","",96,"M",3,4,2,3,3,4,3,2,4,1,3,4,3,3,"Developer",96,"31-40","Male","6-10",5,4,4,4,4,4,4,4,3,4,"Yes, actively",3,3,4,4,5,4,"Reaktor"
"101","",8,"M",2,5,2,2,4,2,1,3,4,4,2,2,2,2,"Developer",8,"31-40","Male","3-5",5,5,1,3,2,3,2,3,1,2,"Rarely",4,3,5,5,5,4,"Reaktor"
"102","",12,"M",2,5,1,3,2,3,1,2,3,NA,NA,NA,2,NA,"Developer",12,"21-30","Male","6-10",5,2,1,4,4,2,NA,NA,4,4,NA,4,2,4,4,3,5,"Reaktor"
"103","",48,NA,2,4,2,3,2,4,2,4,4,4,NA,NA,4,2,"Developer",48,"31-40",NA,"6-10",4,2,2,2,4,4,NA,4,4,4,"Never",2,4,4,4,4,3,"Reaktor"
"104","",NA,"M",4,3,4,3,1,5,2,2,4,1,2,2,3,2,"Developer",132,"31-40","Male","3-5",3,4,1,2,2,4,NA,4,2,2,"Occasionally",4,2,4,4,4,4,"Reaktor"
"105","",96,"M",3,5,3,3,3,1,1,3,4,3,3,4,3,3,"Developer",96,"31-40","Male","11-20",5,3,4,4,4,4,3,3,4,4,"Yes, actively",3,5,4,4,2,2,"Reaktor"
"106","",36,"M",3,4,3,3,2,3,NA,3,5,2,2,3,2,3,"UX designer",36,"21-30","Male","3-5",5,4,3,4,4,4,NA,4,4,4,"Yes, actively",4,3,4,4,4,4,"Reaktor"
"107","",108,"M",2,5,2,1,4,2,2,2,2,3,2,2,2,2,"Developer",108,"31-40","Male","3-5",5,2,5,4,4,4,3,5,4,5,"Occasionally",2,5,3,5,3,5,"Reaktor"
"108","",96,"M",5,4,1,1,1,5,2,2,4,2,2,2,2,2,"Developer",96,"41-50","Male","11-20",4,5,3,2,4,4,3,3,3,3,NA,5,1,4,4,2,4,"Reaktor"
"109","UI Visual design",6,"M",2,4,3,3,3,3,4,3,5,3,2,4,3,4,"UX designer",6,"31-40","Male","3-5",4,5,3,4,4,3,2,3,2,3,"Occasionally",3,4,4,4,2,3,"Reaktor"
